type,name,label,hint,required,constraint,constraint_message,relevant,choice_filter,calculation,appearance
start,start,,,,,,,,,
end,end,,,,,,,,,
today,today,today,,,,,,,,
text,enumerator,Name of enumerator,,true,,,,,,
text,enumerator_contact,Telephone contact of enumerator,"Insert a 10-digit number including the zero in the beginning. For example, ""0775234567.""

- If no contact, insert ""-444""
- If refused to answer, insert ""-888.""",true,"(regex(.,'0\d{9}') and string-length(.)=10) or .=-444 or .=-888",Must be a valid 10-digit Ugandan telephone number,,,,
select_one yes_no,consent,"Hello!
My name is …………………….. calling on behalf of WFP. 

Due to the outbreak of COVID-19, it is anticipated that the supply chain of different food and non-food items will be disrupted. This will likely lead to changes in prices and overall market functionality. 
We request for about 10 minutes of your time to provide us with information about the market prices in your market, and any changes in market functionality as a result of the COVID-19 outbreak. 
This interview is completely voluntary – you do not have to answer a question if you don’t want to, and we can stop at any time.

Are you willing to continue?

Do you have any questions?",,true,,,,,,
begin_group,A,Introduction,,,,,"selected(${consent},""yes"")",,,
select_one settlement,settlement,Settlement name,,true,,,,,,
select_one market,market,Select the market where data is being collected,,true,,,,settlement=${settlement},,
text,market_other,If other please specify,,true,,,"selected(${market}, 'other')",,,
text,trader_name,Name of trader,,true,,,,,,
text,trader_contact,Telephone contact of the trader,"Insert a 10-digit number including the zero in the beginning. For example, ""0775234567.""

- If no contact, insert ""-444""
- If refused to answer, insert ""-888.""",true,"(regex(.,'0\d{9}') and string-length(.)=10) or .=-444 or .=-888",Must be a valid 10-digit Ugandan telephone number,,,,
select_multiple item,traded_items,Which items do you sell?,,true,,,,,,
select_multiple cereal,cereal,Which cereals do you sell?,,true,,,"selected(${traded_items}, 'cereals')",,,
select_multiple wash,wash,Which wash items do you sell?,,true,,,"selected(${traded_items}, 'wash')",,,
select_multiple energy,energy,Which energy items do you sell?,,true,,,"selected(${traded_items}, 'energy')",,,
select_multiple shelter,shelter,Which shelter items do you sell?,,true,,,"selected(${traded_items}, 'shelter')",,,
select_multiple household_items,household_items,Which household items do you sell?,,true,,,"selected(${traded_items}, 'household_items')",,,
select_multiple education_items,education_items,Which education items do you sell?,,true,,,"selected(${traded_items}, 'education')",,,
select_multiple agricultural,agricultural,Which agricultural inputs do you sell?,,true,,,"selected(${traded_items}, 'agricultural')",,,
calculate,day,Day,,,,,,,"format-date(${today},""%e"")",
calculate,month,Month,,,,,,,"format-date(${today},""%n"")",
end_group,,,,,,,,,,
begin_group,B,Prices,,,,,"selected(${consent},""yes"")",,,
note,note_price,"<span style=""color:blue""> I am now going to ask you about the prices of different items. </span>",,,,,,,,
integer,price_maize_g,What is the price per  1 kg of **Maize grain**,Enter **99** if the trader doesn’t want to answer or doesn’t have the items.,true,(. >= 100 and . <= 50000) or . = 99,Please enter **99** if you don't want to answer or you don't have the items.,,,,
integer,price_maize_f,What is the price per  1 kg of **Maize flour**,Enter **99** if the trader doesn’t want to answer or doesn’t have the items.,true,(. >= 1000 and . <= 50000) or . = 99,Please enter **99** if you don't want to answer or you don't have the items.,,,,
